C601,C602,C101,R002-0501
2024,P01,108,0
2024,P01,114,2480
2024,P01,207,0
2024,P02,108,0
2024,P02,114,2402
2024,P02,207,0
2024,P03,108,0
2024,P03,114,2289
2024,P03,207,0
2024,P04,108,20
2024,P04,114,2107
2024,P04,207,104
2024,P05,108,78
2024,P05,114,2056
2024,P05,207,187
2024,P06,108,121
2024,P06,114,1951
2024,P06,207,337
2024,P07,108,162
2024,P07,114,1853
2024,P07,207,451
2024,P08,108,156
2024,P08,114,1740
2024,P08,207,549
2024,P09,108,172
2024,P09,114,1812
2024,P09,207,619
2024,P10,108,195
2024,P10,114,1623
2024,P10,207,693
2024,P11,108,195
2024,P11,114,1585
2024,P11,207,769
2024,P12,108,200
2024,P12,114,1610
2024,P12,207,785
