C601 AÑO,C602 MES,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,NA,"160,000.00",NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,"170,000.00",NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,"190,000.00",NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,"165,000.00",NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,"155,000.00",NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,"150,000.00",NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,"160,000.00",NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,"170,000.00",NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,"160,000.00",NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,"155,000.00",NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,"160,000.00",NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,"175,000.00",NA,NA,NA,NA,NA,NA
