C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,
2024,P01,"6,700.00",NA,"386,400.00",NA,900,"104,549.00",NA,"603,410.00",
2024,P02,"19,630.00",NA,"380,595.00",NA,"15,003.00","124,700.00",NA,"500,850.00",
2024,P03,"7,502.00",NA,"430,796.00",NA,"20,675.00","115,800.00",NA,"620,730.00",
2024,P04,"26,040.00",NA,"460,053.00",NA,"24,665.00","115,374.00",NA,"500,345.00",
2024,P05,"9,700.00",NA,"550,102.00",NA,"3,240.00","124,623.00",NA,"310,691.00",
2024,P06,"4,580.00",NA,"490,909.00",NA,0,"120,494.00",NA,"420,875.00",
2024,P07,"6,912.00",NA,"480,630.00",NA,0,"120,494.00",NA,"430,250.00",
2024,P08,"4,363.00",NA,"500,814.00",NA,0,"123,700.00",NA,"375,550.00",
2024,P09,"6,171.00",NA,"575,950.00",NA,0,"120,020.00",NA,"325,750.00",
2024,P10,"5,000.00",NA,"540,650.00",NA,"17,000.00","136,150.00",NA,"350,820.00",
2024,P11,"5,000.00",NA,"620,320.00",NA,"73,170.00","135,800.00",NA,"210,185.00",
2024,P12,"4,500.00",NA,"550,700.00",NA,0,"180,800.00",NA,"290,500.00",
