C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205, R002-0206 ,R002-0207,R002-0208
2024,P01,"$5,532.16",NA,"$146,161.93",NA,"$18,118.00","$34,200.00","$77,898.06","$19,442.15"
2024,P02,"$5,407.59",NA,"$191,139.21",NA, NA ,"$34,200.00","$77,898.06","$7,842.24"
2024,P03,"$5,376.78",NA,"$147,046.69",NA, NA ,"$34,200.00","$77,898.06","$18,501.56"
2024,P04,"$7,650.67",NA,"$146,540.88",NA,"$4,110.00","$34,200.00","$77,898.06","$15,053.57"
2024,P05,"$4,311.03",NA,"$153,650.42",NA, NA ,"$34,200.00","$77,898.06","$10,730.92"
2024,P06,"$11,662.63",NA,"$152,834.26",NA, NA ,"$34,200.00","$77,898.06","$15,308.69"
2024,P07,"$8,145.03",NA,"$153,326.52",NA,"$15,634.00","$34,200.00","$77,898.06","$15,775.02"
2024,P08,"$5,809.88",NA,"$145,311.16",NA,"$18,167.88","$34,200.00","$77,898.06","$13,649.14"
2024,P09,"$6,423.66",NA,"$149,372.10",NA, NA ,"$34,200.00","$77,898.06","$14,606.28"
2024,P10,"$5,013.62",NA,"$149,841.72",NA, NA ,"$34,200.00","$77,898.06","$11,913.79"
2024,P11,"$4,668.96",NA,"$146,404.01",NA, NA ,"$34,200.00","$77,898.06","$20,339.43"
2024,P12,"$3,931.03",NA,"$148,279.79",NA,"$6,300.22","$34,200.00","$77,898.06","$9,502.59"
,,,,,,,,,
