C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306,
2024,P130220019,NA,NA,1,NA,NA,NA,
2024,P130220091,NA,NA,0,NA,NA,NA,
2024,P130480001,NA,NA,3,NA,NA,NA,
2024,P130480153,NA,NA,1,NA,NA,NA,
2024,P130480154,NA,NA,0,NA,NA,NA,
2024,P130480158,NA,NA,1,NA,NA,NA,
2024,P130480193,NA,NA,0,NA,NA,NA,
2024,P130480244,NA,NA,0,NA,NA,NA,
2024,P130480248,NA,NA,0,NA,NA,NA,
2024,P130510001,NA,NA,2,NA,NA,NA,
2024,P130510006,NA,NA,0,NA,NA,NA,
2024,P130510038,NA,NA,0,NA,NA,NA,
2024,P130510069,NA,NA,0,NA,NA,NA,
2024,P130510083,NA,NA,0,NA,NA,NA,
2024,P130510089,NA,NA,0,NA,NA,NA,
2024,P130510148,NA,NA,0,NA,NA,NA,
2024,P130510151,NA,NA,0,NA,NA,NA,
2024,P130510152,NA,NA,0,NA,NA,NA,
2024,P130510154,NA,NA,0,NA,NA,NA,
2024,P130520001,NA,NA,1,NA,NA,NA,
2024,P130520006,NA,NA,0,NA,NA,NA,
2024,P130520051,NA,NA,0,NA,NA,NA,
2024,P130520059,NA,NA,0,NA,NA,NA,
2024,P130690002,NA,NA,1,NA,NA,NA,
2024,P130690005,NA,NA,0,NA,NA,NA,
2024,P130690010,NA,NA,0,NA,NA,NA,
2024,P130690011,NA,NA,1,NA,NA,NA,
2024,P130690019,NA,NA,1,NA,NA,NA,
2024,P130690029,NA,NA,1,NA,NA,NA,
2024,P130690033,NA,NA,0,NA,NA,NA,
2024,P130690042,NA,NA,0,NA,NA,NA,
2024,P130690044,NA,NA,1,NA,NA,NA,
2024,P130690050,NA,NA,0,NA,NA,NA,
2024,P130690058,NA,NA,0,NA,NA,NA,
2024,P130690062,NA,NA,0,NA,NA,NA,
2024,P130690063,NA,NA,0,NA,NA,NA,
2024,P130750001,NA,NA,1,NA,NA,NA,
2024,P130750002,NA,NA,0,NA,NA,NA,
2024,P130750040,NA,NA,0,NA,NA,NA,
2024,P130750041,NA,NA,0,NA,NA,NA,
2024,P130820037,NA,NA,0,NA,NA,NA,
2024,P130830023,NA,NA,1,NA,NA,NA,
2024,P130830060,NA,NA,0,NA,NA,NA,
2024,P130830061,NA,NA,0,NA,NA,NA,
2024,P130830102,NA,NA,1,NA,NA,NA,
2024,P130830133,NA,NA,0,NA,NA,NA,
2024,P130830136,NA,NA,0,NA,NA,NA,
2024,P130830137,NA,NA,0,NA,NA,NA,
2024,P130830138,NA,NA,0,NA,NA,NA,
2024,P150840007,NA,NA,1,NA,NA,NA,
2024,P130820001,NA,NA,NA,NA,NA,10,
2024,P130820003,NA,NA,NA,NA,NA,1,
