C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2023,P01,NA,NA,NA,NA,NA,"19,417",NA,NA,NA,"14,383",45,NA,NA
2023,P02,NA,NA,NA,NA,NA,"19,389",NA,NA,NA,"14,362",45,NA,NA
2023,P03,NA,NA,NA,NA,NA,"18,874",NA,NA,NA,"13,981",45,NA,NA
2023,P04,NA,NA,NA,NA,NA,"20,646",NA,NA,NA,"15,293",45,NA,NA
2023,P05,NA,NA,NA,NA,NA,"20,629",NA,NA,NA,"15,281",45,NA,NA
2023,P06,NA,NA,NA,NA,NA,"20,225",NA,NA,NA,"14,981",45,NA,NA
2023,P07,NA,NA,NA,NA,NA,"20,967",NA,NA,NA,"15,531",45,NA,NA
2023,P08,NA,NA,NA,NA,NA,"20,978",NA,NA,NA,"15,539",45,NA,NA
2023,P09,NA,NA,NA,NA,NA,"20,900",NA,NA,NA,"15,482",45,NA,NA
2023,P10,NA,NA,NA,NA,NA,"21,127",NA,NA,NA,"15,650",45,NA,NA
2023,P11,NA,NA,NA,NA,NA,"21,454",NA,NA,NA,"15,892",45,NA,NA
2023,P12,NA,NA,NA,NA,NA,"21,542",NA,NA,NA,"15,957",45,NA,NA
