C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,,,,,
2024,P01,"12,246.00","324,676.00","88,050.00",NA,"48,370.00","612,958.00","97,368.00","667,213.00",,,,,
2024,P02,"20,458.00","151,534.00","264,272.00",NA,"41,697.00","629,161.00","52,316.00","900,222.00",,,,,
2024,P03,"15,627.00","556,549.00","208,138.00",NA,"38,442.00","795,713.00","22,284.00","849,599.00",,,,,
2024,P04,"18,483.00","680,771.00","401,990.00",NA,"71,591.00","626,505.00","96,038.00","1,145,989.00",,,,,
2024,P05,"12,857.00","519,584.00","396,503.00",NA,"39,222.00","639,131.00","42,730.00","1,347,695.00",,,,,
2024,P06,"15,357.00","236,296.00","348,719.00",NA,"29,524.00","510,082.00","7,397.00","516,842.00",,,,,
2024,P07,"12,857.00","499,331.00","366,995.00",NA,"48,835.00","493,345.00","72,292.00","1,105,496.00",,,,,
2024,P08,"12,857.00","461,988.00","457,770.00",NA,"35,753.00","609,079.00","29,069.00","593,482.00",,,,,
2024,P09,"48,651.00","409,140.00","313,135.00",NA,"65,544.00","483,253.00","257,455.00","1,221,807.00",,,,,
2024,P10,"22,857.00","448,855.00","229,423.00",NA,"79,308.00","483,907.00","68,430.00","705,114.00",,,,,
2024,P11,"179,047.00","143,677.00","565,051.00",NA,"33,092.00","418,337.00","249,138.00","818,054.00",,,,,
2024,P12,"1,001,278.00","734,887.00","1,334,662.00",NA,"83,720.00","549,405.00","1,312,582.00","1,389,633.00",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
