C601,C602,R002-0301,R002-0302,,,,
2024,P01,"1,328,257.00","1,328,257.00",,,,
2024,P02,"1,192,501.00","1,192,501.00",,,,
2024,P03,"-72,458.00","-72,458.00",,,,
2024,P04,"487,179.00","487,179.00",,,,
2024,P05,"383,029.00","383,029.00",,,,
2024,P06,"556,642.00","556,642.00",,,,
2024,P07,"854,338.00","854,338.00",,,,
2024,P08,"332,356.00","332,356.00",,,,
2024,P09,"-668,915.00","-668,915.00",,,,
2024,P10,"489,502.00","489,502.00",,,,
2024,P11,"-893,266.00","-893,266.00",,,,
2024,P12,"-4,060,144.00","-4,060,144.00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
