C601,C602,C101,R002-0501
2024,P01,P108,"19,890"
2024,P02,P108,"19,862"
2024,P03,P108,"19,335"
2024,P04,P108,"21,149"
2024,P05,P108,"21,132"
2024,P06,P108,"20,718"
2024,P07,P108,"21,478"
2024,P08,P108,"21,489"
2024,P09,P108,"21,410"
2024,P10,P108,"21,642"
2024,P11,P108,"21,977"
2024,P12,P108,"22,068"
2024,P01,P114,"14,734"
2024,P02,P114,"14,713"
2024,P03,P114,"14,322"
2024,P04,P114,"15,666"
2024,P05,P114,"15,653"
2024,P06,P114,"15,347"
2024,P07,P114,"15,910"
2024,P08,P114,"15,918"
2024,P09,P114,"15,859"
2024,P10,P114,"16,031"
2024,P11,P114,"16,279"
2024,P12,P114,"16,346"
