C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P240240001,NO,SI ,NO,SI
2024,P240110001,NO,SI ,NO,SI
2024,P240230003,NO,SI ,NO,SI
2024,P240230018,NO,SI ,NO,SI
2024,P240230020 ,NO,SI ,NO,SI
2024,P240230026,NO,SI ,NO,SI
2024,P240230031 ,NO,SI ,NO,SI
2024,P240230040,NO,SI ,NO,SI
2024,P240230011 ,NO,SI ,NO,SI
2024,P240240044 ,NO,SI ,NO,SI
2024,P240240046 ,NO,SI ,NO,SI
2024,P240240037 ,NO,SI ,NO,SI
2024,P240240040,NO,SI ,NO,SI
2024,P240240043 ,NO,SI ,NO,SI
2024,P240240061 ,NO,SI ,NO,SI
2024,P240240058,NO,SI ,NO,SI
2024,P240240056,NO,SI ,NO,SI
2024,P240240059,NO,SI ,NO,SI
2024,P240240064,NO,SI ,NO,SI
2024,P240240071,NO,SI ,NO,SI
2024,P240240072,NO,SI ,NO,SI
2024,P240240073,NO,SI ,NO,SI
2024,P240240075,NO,SI ,NO,SI
2024,P240240080,NO,SI ,NO,SI
2024,P240240077,NO,SI ,NO,SI
2024,P240240081 ,NO,SI ,NO,SI
2024,P240240087,NO,SI ,NO,SI
2024,P240240089 ,NO,SI ,NO,SI
2024,P240240086 ,NO,SI ,NO,SI
2024,P240240095,NO,SI ,NO,SI
2024,P240240100,NO,SI ,NO,SI
2024,P240240122,NO,SI ,NO,SI
2024,P240240185,NO,SI ,NO,SI
2024,P240240316,NO,SI ,NO,SI
2024,P240240004,NO,SI ,NO,SI
2024,P240240009,NO,SI ,NO,SI
2024,P240240018,NO,SI ,NO,SI
2024,P240240021,NO,SI ,NO,SI
2024,P240240035,NO,SI ,NO,SI
2024,P240240036,NO,SI ,NO,SI
2024,P240240051 ,NO,SI ,NO,SI
2024,P240240052,NO,SI ,NO,SI
2024,P240240063,NO,SI ,NO,SI
2024,P240240194,NO,SI ,NO,SI
2024,P240240259,NO,SI ,NO,SI
2024,P240240151,NO,SI ,NO,SI
2024,P240240071,NO,SI ,NO,SI
2024,P240240014,NO,SI ,NO,SI
2024,P240240067,NO,SI ,NO,SI
2024,P240240164,NO,SI ,NO,SI
2024,P240240039 ,NO,SI ,NO,SI
2024,P240240036,NO,SI ,NO,SI
2024,P240240517,NO,SI ,NO,SI
2024,P240240180,NO,SI ,NO,SI
2024,P240240453,NO,SI ,NO,SI
2024,P240240501,NO,SI ,NO,SI
2024,P240240023,NO,SI ,NO,SI
2024,P240240054,NO,SI ,NO,SI
2024,P240240341,NO,SI ,NO,SI
2024,P240050015 ,NO,SI ,NO,SI
2024,P240050017,NO,SI ,NO,SI
2024,P240110003,NO,SI ,NO,SI
2024,P240110005,NO,SI ,NO,SI
2024,P240110011,NO,SI ,NO,SI
2024,P240110013,NO,SI ,NO,SI
2024,P240110016,NO,SI ,NO,SI
2024,P240110022,NO,SI ,NO,SI
2024,P240110035,NO,SI ,NO,SI
2024,P240110095 ,NO,SI ,NO,SI
2024,P240110166,NO,SI ,NO,SI
2024,P240110135,NO,SI ,NO,SI
2024,P240520015,NO,SI ,NO,SI
2024,P240520010,NO,SI ,NO,SI
2024,P240520009,NO,SI ,NO,SI
2024,P240520006,NO,SI ,NO,SI
2024,P240520002,NO,SI ,NO,SI
2024,P240270042,NO,SI ,NO,SI
2024,P240270066,NO,SI ,NO,SI
2024,P240270040,NO,SI ,NO,SI
