C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,NA,NA,NA,NA,NA,86433,NA,386153
2024,P02,NA,NA,NA,NA,NA,73166,NA,393864
2024,P03,NA,NA,NA,NA,NA,157946,NA,182370
2024,P04,NA,NA,NA,NA,NA,149524,NA,401417
2024,P05,NA,NA,NA,NA,NA,157482,NA,570517
2024,P06,NA,NA,NA,NA,NA,128511,NA,297221
2024,P07,NA,NA,NA,NA,NA,182450,NA,259692
2024,P08,NA,NA,NA,NA,NA,147302,NA,224234
2024,P09,NA,NA,NA,NA,NA,147538,NA,286144
2024,P10,NA,NA,NA,NA,NA,181286,NA,168101
2024,P11,NA,NA,NA,NA,NA,147245,NA,212977
2024,P12,NA,NA,NA,NA,NA,178956,NA,505682
