C601,C602,R001-0601,R001-0602,R001-0603,R001-0604,R001-0605,R001-0606,R001-0607,R001-0608,R001-0609,R001-0610,R001-0611,R001-0612,R001-0613
2024,P01,NA,NA,23936,NA,NA,NA,NA,23936,NA,NA,NA,NA,NA
2024,P02,NA,NA,27996,NA,NA,NA,NA,27996,NA,NA,NA,NA,NA
2024,P03,NA,NA,31576,NA,NA,NA,NA,31576,NA,NA,NA,NA,NA
2024,P04,NA,NA,37151,NA,NA,NA,NA,37151,NA,NA,NA,NA,NA
2024,P05,NA,NA,36534,NA,NA,NA,NA,36534,NA,NA,NA,NA,NA
2024,P06,NA,NA,36473,NA,NA,NA,NA,36473,NA,NA,NA,NA,NA
2024,P07,NA,NA,35748,NA,NA,NA,NA,35748,NA,NA,NA,NA,NA
2024,P08,NA,NA,39014,NA,NA,NA,NA,39014,NA,NA,NA,NA,NA
2024,P09,NA,NA,41675,NA,NA,NA,NA,41675,NA,NA,NA,NA,NA
2024,P10,NA,NA,51030,NA,NA,NA,NA,51030,NA,NA,NA,NA,NA
2024,P11,NA,NA,59726,NA,NA,NA,NA,59726,NA,NA,NA,NA,NA
2024,P12,NA,NA,71753,NA,NA,NA,NA,71753,NA,NA,NA,NA,NA
