C601,C602,C105,R004-0401, R004-0402 ,R004-0403
2024,P01,P02,2251," 86,784.48 ",2251
2024,P01,P03,1486," 128,103.45 ",1486
2024,P01,P04,2863," 322,344.83 ",2863
2024,P01,P05,2309," 398,103.45 ",2309
2024,P01,P06,782," 212,758.62 ",782
2024,P01,P07,320," 157,974.14 ",320
2024,P01,P08,195," 267,892.24 ",195
2024,P02,P02,2488," 103,413.79 ",2488
2024,P02,P03,1802," 155,344.83 ",1802
2024,P02,P04,3946," 442,939.66 ",3946
2024,P02,P05,3096," 533,793.10 ",3096
2024,P02,P06,926," 250,517.24 ",926
2024,P02,P07,329," 161,966.38 ",329
2024,P02,P08,210," 278,034.48 ",210
2024,P03,P02,3389," 142,905.17 ",3389
2024,P03,P03,2469," 212,844.83 ",2469
2024,P03,P04,4920," 552,646.55 ",4920
2024,P03,P05,3831," 660,517.24 ",3831
2024,P03,P06,1187," 323,879.31 ",1187
2024,P03,P07,414," 203,125.86 ",414
2024,P03,P08,226," 281,917.24 ",226
2024,P04,P02,4041," 170,750.00 ",4041
2024,P04,P03,2825," 239,338.79 ",2825
2024,P04,P04,5063," 569,185.34 ",5063
2024,P04,P05,3907," 670,651.72 ",3907
2024,P04,P06,1476," 394,883.62 ",1476
2024,P04,P07,497," 266,563.79 ",497
2024,P04,P08,150," 223,318.97 ",150
2024,P05,P02,490," 20,775.86 ",490
2024,P05,P03,5837," 358,451.72 ",5837
2024,P05,P04,4824," 582,511.21 ",4824
2024,P05,P05,2858," 401,215.52 ",2858
2024,P05,P06,6102," 1,415,180.17 ",6102
2024,P05,P07,514," 333,073.28 ",525
2024,P05,P08,89," 156,626.72 ",78
2024,P06,P02,69," 1,853.45 ",69
2024,P06,P03,6480," 385,768.97 ",6480
2024,P06,P04,4726," 577,973.28 ",4726
2024,P06,P05,2781," 381,294.83 ",2781
2024,P06,P06,6485," 1,495,677.59 ",6485
2024,P06,P07,484," 303,393.10 ",484
2024,P06,P08,119," 213,899.14 ",119
2024,P07,P02,11, 439.66 ,11
2024,P07,P03,7069," 421,090.52 ",7069
2024,P07,P04,4981," 609,252.59 ",4981
2024,P07,P05,3195," 438,041.38 ",3195
2024,P07,P06,7120," 1,645,087.07 ",7120
2024,P07,P07,513," 318,535.34 ",513
2024,P07,P08,147," 267,257.76 ",147
2024,P08,P02,125," 5,370.69 ",125
2024,P08,P03,8123," 497,115.52 ",8123
2024,P08,P04,5539," 675,592.24 ",5539
2024,P08,P05,3712," 510,531.90 ",3712
2024,P08,P06,7729," 1,767,130.17 ",7729
2024,P08,P07,669," 413,259.48 ",669
2024,P08,P08,167," 297,183.62 ",167
2024,P09,p02, 474 ," 20,310.34 ", 474 
2024,P09,p03," 11,044 "," 707,615.52 "," 11,044 "
2024,P09,p04," 6,272 "," 758,279.31 "," 6,272 "
2024,P09,p05," 4,192 "," 579,364.66 "," 4,192 "
2024,P09,p06," 8,138 "," 1,857,050.86 "," 8,138 "
2024,P09,p07, 655 ," 408,185.34 ", 655 
2024,P09,p08, 144 ," 265,263.79 ", 144 
2024,P10,p02, 816 ," 35,172.41 ", 816 
2024,P10,p03," 14,191 "," 922,063.79 "," 14,191 "
2024,P10,p04," 7,321 "," 878,131.90 "," 7,321 "
2024,P10,p05," 4,829 "," 671,343.10 "," 4,829 "
2024,P10,p06," 9,286 "," 2,113,671.55 "," 9,286 "
2024,P10,p07, 735 ," 455,961.21 ", 735 
2024,P10,p08, 164 ," 304,556.90 ", 164 
2024,P11,p02," 1,101 "," 47,387.93 "," 1,101 "
2024,P11,p03," 17,130 "," 1,121,798.28 "," 17,130 "
2024,P11,p04," 8,208 "," 976,213.79 "," 8,208 "
2024,P11,p05," 4,950 "," 692,770.69 "," 4,950 "
2024,P11,p06," 9,593 "," 2,182,642.24 "," 9,593 "
2024,P11,p07, 766 ," 476,279.31 ", 766 
2024,P11,p08, 193 ," 364,316.38 ", 193 
2024,P12,P02," 1,316 "," 56,724.14 "," 1,316 "
2024,P12,P03," 19,097 "," 1,270,512.07 "," 19,097 "
2024,P12,P04," 8,973 "," 1,063,117.24 "," 8,973 "
2024,P12,P05," 5,255 "," 738,959.48 "," 5,255 "
2024,P12,P06," 10,257 "," 2,325,975.00 "," 10,257 "
2024,P12,P07, 792 ," 490,006.90 ", 792 
2024,P12,P08, 259 ," 463,957.76 ", 259 
