C601,C602,C103,R004-0501,R004-0502,R004-0503
2024,P01,P01," 7,170 "," 2,133 "," 23,936 "
2024,P02,P01," 7,141 "," 5,114 "," 27,996 "
2024,P03,P01," 7,844 ",5133," 31,576 "
2024,P04,P01," 8,640 ",1234," 37,151 "
2024,P05,P01," 5,047 ",6886," 36,534 "
2024,P06,P01," 4,636 ",3470," 36,473 "
2024,P07,P01," 5,880 ",6700," 35,748 "
2024,P08,P01," 7,077 ",6914," 39,014 "
2024,P09,P01," 7,046 ",4697," 41,675 "
2024,P10,P01," 15,291 ",5068," 51,030 "
2024,P11,P01," 14,654 ",6081," 59,726 "
2024,P12,P01," 9,733 ",6532," 71,753 "
,,,,,
