C601,C602,C101,C001,R004-0601,R004-0602,R004-0603,R004-0604,R004-0605,R004-0606,R004-0607,R004-0608,R004-0609,R004-0610,R004-0611,R004-0612,R004-0613,R004-0614
2024,P07,P206,P02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
2024,P09,P206,P07,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,49
2024,P02,P206,P09,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0
2024,P04,P206,P09,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,0,2,0
2024,P06,P206,P09,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,0,0,0
2024,P07,P206,P09,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,0
2024,P10,P206,P09,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,0,1,25
2024,P12,P206,P09,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,0
2024,P11,P206,P15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2024,P01,P206,P14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,1,25
2024,P02,P206,P14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,0
2024,P05,P206,P14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2024,P06,P206,P13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0
2024,P04,P206,P19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,0
2024,P06,P206,P17,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0
2024,P04,P206,P21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
2024,P09,P206,P21,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0
2024,P11,P206,P21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2024,P05,P206,P25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2024,P12,P206,P27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,1,25
2024,P08,P206,P28,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0
2024,P09,P206,P29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2024,P02,P206,P30,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0
2024,P05,P206,P30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0
2024,P07,P206,P30,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0
2024,P12,P206,P31,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,0
