C601,C602,R004-0701,R004-0702
2024,P01,768866,Dale 30
2024,P01,768872,Dale 50
2024,P01,768894,Dale 100
2024,P01,773356,Dale 120 plus
2024,P01,773381,Dale 150 plus
2024,P01,773462,Dale 200
2024,P01,773395,Dale 300 plus
2024,P01,773412,Dale 500 plus
2024,P01,755958,Dale 6 meses Lite
2024,P01,756159,Dale 12 meses Lite
2024,P01,755950,Dale 3 meses Clásico
2024,P01,755977,Dale 6 meses Clásico
2024,P01,756212,Dale 12 meses Clásico
2024,P01,747683,Dale 3 meses Plus
2024,P01,748079,Dale 6 meses Plus
2024,P01,717207,Dale 12 meses Plus
2024,P02,768866,Dale 30
2024,P02,768872,Dale 50
2024,P02,768894,Dale 100
2024,P02,773356,Dale 120 plus
2024,P02,773381,Dale 150 plus
2024,P02,773462,Dale 200
2024,P02,773395,Dale 300 plus
2024,P02,773412,Dale 500 plus
2024,P02,755958,Dale 6 meses Lite
2024,P02,756159,Dale 12 meses Lite
2024,P02,755950,Dale 3 meses Clásico
2024,P02,755977,Dale 6 meses Clásico
2024,P02,756212,Dale 12 meses Clásico
2024,P02,747683,Dale 3 meses Plus
2024,P02,748079,Dale 6 meses Plus
2024,P02,717207,Dale 12 meses Plus
2024,P03,768866,Dale 30
2024,P03,768872,Dale 50
2024,P03,768894,Dale 100
2024,P03,773356,Dale 120 plus
2024,P03,773381,Dale 150 plus
2024,P03,773462,Dale 200
2024,P03,773395,Dale 300 plus
2024,P03,773412,Dale 500 plus
2024,P03,755958,Dale 6 meses Lite
2024,P03,756159,Dale 12 meses Lite
2024,P03,755950,Dale 3 meses Clásico
2024,P03,755977,Dale 6 meses Clásico
2024,P03,756212,Dale 12 meses Clásico
2024,P03,747683,Dale 3 meses Plus
2024,P03,748079,Dale 6 meses Plus
2024,P03,717207,Dale 12 meses Plus
2024,P04,768866,Dale 30
2024,P04,768872,Dale 50
2024,P04,768894,Dale 100
2024,P04,773356,Dale 120 plus
2024,P04,773381,Dale 150 plus
2024,P04,773462,Dale 200
2024,P04,773395,Dale 300 plus
2024,P04,773412,Dale 500 plus
2024,P04,755958,Dale 6 meses Lite
2024,P04,756159,Dale 12 meses Lite
2024,P04,755950,Dale 3 meses Clásico
2024,P04,755977,Dale 6 meses Clásico
2024,P04,756212,Dale 12 meses Clásico
2024,P04,747683,Dale 3 meses Plus
2024,P04,748079,Dale 6 meses Plus
2024,P04,717207,Dale 12 meses Plus
2024,P04,1155167,Dale 69
2024,P04,1167963,Dale 139
2024,P04,1170850,Dale 149 Plus
2024,P04,1170865,Dale 159 Plus
2024,P04,1170873,Dale 239 Plus
2024,P04,1170903,Dale 259
2024,P04,1171142,Dale 349 Plus
2024,P04,1171174,Dale 499 Plus
2024,P04,1171278,Dale 3M Lite
2024,P04,1171598,Dale 6M Lite
2024,P04,1171895,Dale 12M Lite
2024,P04,1171361,Dale 3M Clásico
2024,P04,1171737,Dale 6M Clásico
2024,P04,1172000,Dale 12M Clásico
2024,P04,1171437,Dale 3M Plus
2024,P04,1171775,Dale 6M Plus
2024,P04,1172086,Dale 12M Plus
2024,P05,1155167,Dale 69
2024,P05,1167963,Dale 139
2024,P05,1170850,Dale 149 Plus
2024,P05,1170865,Dale 159 Plus
2024,P05,1170873,Dale 239 Plus
2024,P05,1170903,Dale 259
2024,P05,1171142,Dale 349 Plus
2024,P05,1171174,Dale 499 Plus
2024,P05,1171278,Dale 3M Lite
2024,P05,1171598,Dale 6M Lite
2024,P05,1171895,Dale 12M Lite
2024,P05,1171361,Dale 3M Clásico
2024,P05,1171737,Dale 6M Clásico
2024,P05,1172000,Dale 12M Clásico
2024,P05,1171437,Dale 3M Plus
2024,P05,1171775,Dale 6M Plus
2024,P05,1172086,Dale 12M Plus
2024,P05,1233955,IPB 50
2024,P05,1233976,IPB 60
2024,P05,1233994,IPB 99
2024,P05,1234038,IPB 100
2024,P05,1239102,IPB 119
2024,P05,1239111,IPB 120
2024,P05,1239114,IPB 200
2024,P05,1239117,IPB 230
2024,P06,1155167,Dale 69
2024,P06,1167963,Dale 139
2024,P06,1170850,Dale 149 Plus
2024,P06,1170865,Dale 159 Plus
2024,P06,1170873,Dale 239 Plus
2024,P06,1170903,Dale 259
2024,P06,1171142,Dale 349 Plus
2024,P06,1171174,Dale 499 Plus
2024,P06,1171278,Dale 3M Lite
2024,P06,1171598,Dale 6M Lite
2024,P06,1171895,Dale 12M Lite
2024,P06,1171361,Dale 3M Clásico
2024,P06,1171737,Dale 6M Clásico
2024,P06,1172000,Dale 12M Clásico
2024,P06,1171437,Dale 3M Plus
2024,P06,1171775,Dale 6M Plus
2024,P06,1172086,Dale 12M Plus
2024,P06,1233955,IPB 50
2024,P06,1233976,IPB 60
2024,P06,1233994,IPB 99
2024,P06,1234038,IPB 100
2024,P06,1239102,IPB 119
2024,P06,1239111,IPB 120
2024,P06,1239114,IPB 200
2024,P06,1239117,IPB 230
2024,P06,1243855,IPB 140
2024,P07,1155167,Dale 69
2024,P07,1167963,Dale 139
2024,P07,1170850,Dale 149 Plus
2024,P07,1170865,Dale 159 Plus
2024,P07,1170873,Dale 239 Plus
2024,P07,1170903,Dale 259
2024,P07,1171142,Dale 349 Plus
2024,P07,1171174,Dale 499 Plus
2024,P07,1171278,Dale 3M Lite
2024,P07,1171598,Dale 6M Lite
2024,P07,1171895,Dale 12M Lite
2024,P07,1171361,Dale 3M Clásico
2024,P07,1171737,Dale 6M Clásico
2024,P07,1172000,Dale 12M Clásico
2024,P07,1171437,Dale 3M Plus
2024,P07,1171775,Dale 6M Plus
2024,P07,1172086,Dale 12M Plus
2024,P07,1233955,IPB 50
2024,P07,1233976,IPB 60
2024,P07,1233994,IPB 99
2024,P07,1234038,IPB 100
2024,P07,1239102,IPB 119
2024,P07,1239111,IPB 120
2024,P07,1239114,IPB 200
2024,P07,1239117,IPB 230
2024,P07,1243855,IPB 140
2024,P08,1155167,Dale 69
2024,P08,1167963,Dale 139
2024,P08,1170850,Dale 149 Plus
2024,P08,1170865,Dale 159 Plus
2024,P08,1170873,Dale 239 Plus
2024,P08,1170903,Dale 259
2024,P08,1171142,Dale 349 Plus
2024,P08,1171174,Dale 499 Plus
2024,P08,1171278,Dale 3M Lite
2024,P08,1171598,Dale 6M Lite
2024,P08,1171895,Dale 12M Lite
2024,P08,1171361,Dale 3M Clásico
2024,P08,1171737,Dale 6M Clásico
2024,P08,1172000,Dale 12M Clásico
2024,P08,1171437,Dale 3M Plus
2024,P08,1171775,Dale 6M Plus
2024,P08,1172086,Dale 12M Plus
2024,P08,1233955,IPB 50
2024,P08,1233976,IPB 60
2024,P08,1233994,IPB 99
