C601,C602,R004-0801, R004-0802 ,R004-0803,,,
2024,P01,768866,15362.06897,0,,,
2024,P01,768872,71422.41379,0,,,
2024,P01,768894,128103.4483,2431,,,
2024,P01,773356,191482.7586,2378,,,
2024,P01,773381,130862.069,956,,,
2024,P01,773462,398103.4483,1959,,,
2024,P01,773395,186465.5172,556,,,
2024,P01,773412,26293.10345,41,,,
2024,P01,755958,9159.482759,3,,,
2024,P01,756159,17571.55172,4,,,
2024,P01,755950,103708.6207,24,,,
2024,P01,755977,29889.65517,7,,,
2024,P01,756212,150600,25,,,
2024,P01,747683,45106.03448,6,,,
2024,P01,748079,20606.89655,1,,,
2024,P01,717207,49224.13793,7,,,
2024,P02,768866,5741.37931,0,,,
2024,P02,768872,97672.41379,0,,,
2024,P02,768894,155344.8276,1746,,,
2024,P02,773356,269275.8621,2031,,,
2024,P02,773381,173663.7931,762,,,
2024,P02,773462,533793.1034,1420,,,
2024,P02,773395,222931.0345,403,,,
2024,P02,773412,27586.2069,27,,,
2024,P02,755958,8436.206897,3,,,
2024,P02,756159,16676.72414,5,,,
2024,P02,755950,107270.6897,71,,,
2024,P02,755977,47232.75862,8,,,
2024,P02,756212,136814.6552,53,,,
2024,P02,747683,46259.48276,14,,,
2024,P02,748079,23312.06897,2,,,
2024,P02,717207,53998.27586,12,,,
2024,P03,768866,4758.62069,0,,,
2024,P03,768872,138146.5517,0,,,
2024,P03,768894,212844.8276,1848,,,
2024,P03,773356,334241.3793,2266,,,
2024,P03,773381,218405.1724,874,,,
2024,P03,773462,660517.2414,1735,,,
2024,P03,773395,281637.931,523,,,
2024,P03,773412,42241.37931,39,,,
2024,P03,755958,9762.068966,4,,,
2024,P03,756159,12403.44828,4,,,
2024,P03,755950,132115.5172,100,,,
2024,P03,755977,62586.2069,13,,,
2024,P03,756212,144739.6552,35,,,
2024,P03,747683,61248.27586,20,,,
2024,P03,748079,16462.93103,8,,,
2024,P03,717207,45725,12,,,
2024,P04,768866,5146.551724,0,,,
2024,P04,768872,165603.4483,0,,,
2024,P04,768894,230000,1973,,,
2024,P04,773356,337655.1724,2248,,,
2024,P04,773381,212586.2069,818,,,
2024,P04,773462,659137.931,1740,,,
2024,P04,773395,286810.3448,492,,,
2024,P04,773412,52586.2069,49,,,
2024,P04,755958,8677.586207,10,,,
2024,P04,756159,12403.44828,11,,,
2024,P04,755950,133812.931,90,,,
2024,P04,755977,56386.2069,13,,,
2024,P04,756212,123718.1034,63,,,
2024,P04,747683,56117.24138,35,,,
2024,P04,748079,28032.75862,9,,,
2024,P04,717207,45354.31034,12,,,
2024,P04,1155167,9338.793103,0,,,
2024,P04,1167963,13420.68966,129,,,
2024,P04,1170850,5523.275862,0,,,
2024,P04,1170865,11513.7931,47,,,
2024,P04,1170873,16276.72414,36,,,
2024,P04,1170903,31258.62069,50,,,
2024,P04,1171142,7521.551724,7,,,
2024,P04,1171174,430.1724138,2,,,
2024,P04,1171278,3356.896552,1,,,
2024,P04,1171598,0,1,,,
2024,P04,1171895,0,0,,,
2024,P04,1171361,10192.24138,2,,,
2024,P04,1171737,3488.793103,0,,,
2024,P04,1172000,0,0,,,
2024,P04,1171437,1706.896552,0,,,
2024,P04,1171775,1464.655172,0,,,
2024,P04,1172086,5170.689655,0,,,
2024,P05,768894,0,1,,,
2024,P05,1155167,322158.6207,0,,,
2024,P05,1167963,369548.2759,1984,,,
2024,P05,1170850,163514.6552,1,,,
2024,P05,1170865,355008.6207,888,,,
2024,P05,1170873,365093.1034,527,,,
2024,P05,1170903,779902.5862,742,,,
2024,P05,1171142,189543.1034,134,,,
2024,P05,1171174,67106.89655,40,,,
2024,P05,1171278,61770.68966,39,,,
2024,P05,1171598,14216.37931,7,,,
2024,P05,1171895,12829.31034,4,,,
2024,P05,1171361,179462.931,38,,,
2024,P05,1171737,29073.27586,5,,,
2024,P05,1172000,31594.82759,9,,,
2024,P05,1171437,89467.24138,12,,,
2024,P05,1171775,16558.62069,3,,,
2024,P05,1172086,51969.82759,13,,,
2024,P05,1233955,0,0,,,
2024,P05,1233976,0,0,,,
2024,P05,1233994,0,0,,,
2024,P05,1234038,0,0,,,
2024,P05,1239102,0,0,,,
2024,P05,1239111,0,0,,,
2024,P05,1239114,0,0,,,
2024,P05,1239117,0,0,,,
2024,P06,768872,172.4137931,0,,,
2024,P06,768866,1681.034483,0,,,
2024,P06,773395,258.6206897,0,,,
2024,P06,773462,517.2413793,0,,,
2024,P06,768894,1034.482759,0,,,
2024,P06,1155167,384734.4828,0,,,
2024,P06,1167963,399265.5172,2033,,,
2024,P06,1170850,177259.4828,0,,,
2024,P06,1170865,380777.5862,852,,,
2024,P06,1170873,421752.5862,516,,,
2024,P06,1170903,819199.1379,773,,,
2024,P06,1171142,176606.0345,97,,,
2024,P06,1171174,77861.2069,73,,,
2024,P06,1171278,59362.06897,45,,,
2024,P06,1171598,13997.41379,12,,,
2024,P06,1171895,24496.55172,11,,,
2024,P06,1171361,174820.6897,49,,,
2024,P06,1171737,32438.7931,4,,,
2024,P06,1172000,35848.27586,13,,,
2024,P06,1171437,69210.34483,21,,,
2024,P06,1171775,31354.31034,3,,,
2024,P06,1172086,77212.06897,14,,,
2024,P06,1233955,0,0,,,
2024,P06,1233976,0,0,,,
2024,P06,1233994,0,0,,,
2024,P06,1234038,0,0,,,
2024,P06,1239102,0,0,,,
2024,P06,1239111,0,0,,,
2024,P06,1239114,0,0,,,
2024,P06,1239117,0,0,,,
2024,P06,1243855,0,0,,,
2024,P07,756212,1378.448276,0,,,
2024,P07,773356,206.8965517,0,,,
2024,P07,768866,51.72413793,0,,,
2024,P07,1155167,418580.1724,0,,,
2024,P07,1167963,419756.0345,2392,,,
2024,P07,1170850,188048.2759,0,,,
2024,P07,1170865,437524.1379,1083,,,
2024,P07,1170873,511583.6207,706,,,
2024,P07,1170903,838847.4138,1024,,,
2024,P07,1171142,194657.7586,170,,,
2024,P07,1171174,99800,109,,,
2024,P07,1171278,62718.96552,59,,,
2024,P07,1171598,13997.41379,15,,,
