C601,C602,R007-0301,R007-0302,R007-0303,R007-0304
2024 , P01 ," 6,353,500 "," 6,353,500 "," 6,353,500 "," 6,353,500 "
2024 , P02 ," 8,159,000 "," 8,159,000 "," 8,159,000 "," 8,159,000 "
2024 , P03 ," 10,419,000 "," 10,419,000 "," 10,419,000 "," 10,419,000 "
2024 , P04 ," 11,559,625 "," 11,184,625 "," 11,184,625 "," 11,559,625 "
2024 , P05 ," 23,024,225 "," 12,389,625 "," 12,389,625 "," 23,024,225 "
2024 , P06 ," 24,168,725 "," 12,587,875 "," 12,587,875 "," 24,168,725 "
2024 , P07 ," 26,454,600 "," 13,831,250 "," 13,831,250 "," 26,454,600 "
2024 , P08 ," 29,492,650 "," 14,985,250 "," 14,985,250 "," 29,492,650 "
2024 , P09 ," 30,844,025 "," 16,025,625 "," 16,025,625 "," 30,844,025 "
2024 , P10 ," 34,812,450 "," 18,154,250 "," 18,154,250 "," 34,812,450 "
2024 , P11 ," 36,678,950 "," 18,942,750 "," 18,942,750 "," 36,678,950 "
2024 , P12 ," 39,323,350 "," 19,953,750 "," 19,953,750 "," 39,323,350 "
