C601,C602,C104,R007-0501,R007-0502
Desagregador por Año,Desagregador por Mes,Desagregador por Región Internacional,Minutos de llamadas de Larga Distancia Internacional (LDI) realizadas,Minutos de llamadas de Larga Distancia Internacional (LDI) recibidas
2024,P01,P01," 6,353,500 "," 6,353,500 "
2024,P02,P01," 8,159,000 "," 8,159,000 "
2024,P03,P01," 10,419,000 "," 10,419,000 "
2024,P04,P01," 11,184,625 "," 11,184,625 "
2024,P05,P01," 12,389,625 "," 12,389,625 "
2024,P06,P01," 12,587,875 "," 12,587,875 "
2024,P07,P01," 13,831,250 "," 13,831,250 "
2024,P08,P01," 14,985,250 "," 14,985,250 "
2024,P09,P01," 16,025,625 "," 16,025,625 "
2024,P10,P01," 18,154,250 "," 18,154,250 "
2024,P11,P01," 18,942,750 "," 18,942,750 "
2024,P12,P01," 19,953,750 "," 19,953,750 "
