C601,C602,R007-1101,R007-1102,R007-1103,R007-1104,R007-1105,R007-1106
Desagregador por Año,Desagregador por Mes,Minutos o segundos de Llamada nacionales adquiridos a un proveedor para su reventa,Minutos o segundos de Llamadas internacionales adquiridos a un proveedor para su reventa,Mensajes Cortos nacionales adquiridos a un proveedor para su reventa,Minutos o segundos de Llamadas salientes en Itinerancia adquiridos a un proveedor para su reventa,Minutos o segundos de Llamadas entrantes en Itinerancia adquiridos a un proveedor para su reventa,Mensajes Cortos en Itinerancia adquiridos a un proveedor para su reventa
2024,P01,0,0,0,0,0,0
2024,P02,0,0,0,0,0,0
2024,P03,0,0,0,0,0,0
2024,P04,0,0,0,0,0,0
2024,P05,0,0,0,0,0,0
2024,P06,0,0,0,0,0,0
2024,P07,0,0,0,0,0,0
2024,P08,0,0,0,0,0,0
2024,P09,0,0,0,0,0,0
2024,P10,0,0,0,0,0,0
2024,P11,0,0,0,0,0,0
2024,P12,0,0,0,0,0,0
