C601,C602,R012-0801,R012-0802,R012-0803,R012-0804,
2024,P01,NA,NA,"1,343,770.29",0,
2024,P02,NA,NA,"1,677,005.00",0,
2024,P03,NA,NA,"1,874,059.21",0,
2024,P04,NA,NA,"2,321,996.73",0,
2024,P05,NA,NA,"2,533,939.89","306,071.40",
2024,P06,NA,NA,"2,376,324.97","876,180.10",
2024,P07,NA,NA,"2,463,735.77","459,242.25",
2024,P08,NA,NA,"2,825,760.81",0,
2024,P09,NA,NA,"3,164,494.68","666,525.80",
2024,P10,NA,NA,"3,783,534.71",0,
2024,P11,NA,NA,"4,655,059.79","1,157,749.20",
2024,P12,NA,NA,"4,880,530.65","320,000.00",
