C601,C602,C502,R012-0901,R012-0902,R012-0903,R012-0904
2024,P01,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P02,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P03,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P04,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P05,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P06,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P07,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P08,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P09,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P10,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P11,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
2024,P12,P01,ALTAN REDES SAPI DE CV,SI,SI,SI
