C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,805,NA,NA,NA,1009,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,685,NA,NA,NA,810,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,481,NA,NA,NA,577,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,392,NA,NA,NA,397,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,162,NA,NA,NA,70,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,181,NA,NA,NA,81,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,204,NA,NA,NA,92,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,227,NA,NA,NA,94,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,251,NA,NA,NA,97,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,273,NA,NA,NA,95,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,286,NA,NA,NA,93,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,299,NA,NA,NA,93,NA,NA,NA
