C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109,
2024,P01,5818.97,3329.32,402795.94,NA,NA,NA,21252.11,NA,NA,
2024,P02,4987.07,6906.18,387999.84,NA,NA,NA,3995.02,NA,NA,
2024,P03,9310.34,1336.23,405322.82,NA,NA,NA,4591.55,NA,NA,
2024,P04,5818.97,39111.87,397311.48,NA,NA,NA,1817.24,NA,NA,
2024,P05,10301.72,5828.65,400349.80,NA,NA,NA,8473.44,NA,NA,
2024,P06,4224.14,34394.86,326020.77,NA,NA,NA,2466.21,NA,NA,
2024,P07,11841.38,5220.88,422640.65,NA,NA,NA,7388.40,NA,NA,
2024,P08,7403.02,14122.27,421450.41,NA,NA,NA,6798.28,NA,NA,
2024,P09,3006.90,7101.72,349817.74,NA,NA,NA,8760.84,NA,NA,
2024,P10,8935.34,22454.56,438675.50,NA,NA,NA,2227.59,NA,NA,
2024,P11,8474.40,33988.28,428340.54,NA,NA,NA,3904.97,NA,NA,
2024,P12,13834.05,8507.83,460039.53,NA,NA,NA,842.86,NA,NA,
,,,,,,,,,,,
,,,,,,,,,,,
