C501,C502,C001,C101,C102,R001-0301
2025,P01,P01001,P113,P02,37
2025,P01,P01002,P113,P02,2
2025,P01,P01003,P113,P02,3
2025,P01,P01004,P113,P02,3
2025,P01,P01005,P113,P02,7
2025,P01,P01006,P113,P02,1
2025,P01,P01007,P113,P02,3
2025,P01,P01008,P113,P02,0
2025,P01,P01009,P113,P02,3
2025,P01,P01010,P113,P02,2
2025,P01,P01011,P113,P02,6
2025,P01,P02001,P113,P02,21
2025,P01,P02002,P113,P02,11
2025,P01,P02003,P113,P02,8
2025,P01,P02004,P113,P02,33
2025,P01,P02005,P113,P02,1
2025,P01,P02006,P113,P02,1
2025,P01,P02007,P113,P02,3
2025,P01,P03001,P113,P02,1
2025,P01,P03002,P113,P02,9
2025,P01,P03003,P113,P02,20
2025,P01,P03008,P113,P02,18
2025,P01,P03009,P113,P02,5
2025,P01,P04001,P113,P02,7
2025,P01,P04002,P113,P02,17
2025,P01,P04003,P113,P02,24
2025,P01,P04004,P113,P02,5
2025,P01,P04005,P113,P02,1
2025,P01,P04006,P113,P02,3
2025,P01,P04007,P113,P02,2
2025,P01,P04008,P113,P02,0
2025,P01,P04009,P113,P02,6
2025,P01,P04010,P113,P02,1
2025,P01,P04011,P113,P02,2
2025,P01,P04012,P113,P02,1
2025,P01,P04013,P113,P02,0
2025,P01,P05001,P113,P02,1
2025,P01,P05002,P113,P02,13
2025,P01,P05003,P113,P02,3
2025,P01,P05004,P113,P02,6
2025,P01,P05005,P113,P02,1
2025,P01,P05006,P113,P02,5
2025,P01,P05007,P113,P02,14
2025,P01,P05008,P113,P02,1
2025,P01,P05009,P113,P02,9
2025,P01,P05010,P113,P02,8
2025,P01,P05011,P113,P02,2
2025,P01,P05012,P113,P02,0
2025,P01,P05013,P113,P02,1
2025,P01,P05014,P113,P02,1
2025,P01,P05015,P113,P02,0
2025,P01,P05016,P113,P02,1
2025,P01,P05017,P113,P02,4
2025,P01,P05018,P113,P02,20
2025,P01,P05019,P113,P02,1
2025,P01,P05020,P113,P02,16
2025,P01,P05021,P113,P02,3
2025,P01,P05022,P113,P02,4
2025,P01,P05023,P113,P02,11
2025,P01,P05024,P113,P02,4
2025,P01,P05025,P113,P02,4
2025,P01,P05026,P113,P02,1
2025,P01,P05027,P113,P02,18
2025,P01,P05028,P113,P02,5
2025,P01,P05029,P113,P02,1
2025,P01,P05030,P113,P02,24
2025,P01,P05031,P113,P02,11
