C501,C502,C001,R003-0401,R003-0402,R003-0403
2025,P01,P01001,411664,4921,1
2025,P01,P02001,2100989,25121,5
2025,P01,P02002,831966,9947,2
2025,P01,P02004,829498,9917,2
2025,P01,P03008,1596877,19093,4
2025,P01,P04003,8659388,103574,28
2025,P01,P07002,407988,4878,1
2025,P01,P07005,5042375,60292,13
2025,P01,P07065,415405,4966,1
2025,P01,P07089,5080388,60746,14
2025,P01,P07094,415691,4970,1
2025,P01,P07117,408969,4889,1
2025,P01,P08005,415982,4973,1
2025,P01,P09003,414748,4958,1
2025,P01,P09004,798438,9546,2
2025,P01,P09005,1647023,19693,4
2025,P01,P09007,815977,9756,2
2025,P01,P09010,794781,9502,2
2025,P01,P09012,414107,4951,1
2025,P01,P09014,4201979,50243,10
2025,P01,P09015,2855922,34148,7
2025,P01,P10007,414919,4960,1
2025,P01,P10018,415434,4967,1
2025,P01,P11020,1197658,14320,3
2025,P01,P12063,411755,4923,1
2025,P01,P13008,414630,4957,1
2025,P01,P13048,390798,4672,1
2025,P01,P14023,414779,4959,1
2025,P01,P14063,410000,4902,1
2025,P01,P14097,837630,10014,2
2025,P01,P15057,2903248,34713,7
2025,P01,P15104,2521187,30146,6
2025,P01,P15121,399218,4773,1
2025,P01,P19018,411230,4916,1
2025,P01,P19019,1248038,14922,3
2025,P01,P19046,781597,9344,2
2025,P01,P23005,414921,4960,1
2025,P01,P24009,411105,4915,1
2025,P01,P24020,415575,4968,1
2025,P01,P25006,412248,4928,1
2025,P01,P30028,399218,4773,1
