C601;C602;R004-0801;R004-0802;R004-0803
2024;P01;952391;5404199;41427
2024;P01;951803;2940533;31808
2024;P01;752808;286881;16581
2024;P01;951875;416713;16114
2024;P01;951889;2135585;12297
2024;P02;951864;2566498;60847
2024;P02;952391;5083002;38740
2024;P02;951803;2420329;28144
2024;P02;752808;292642;16868
2024;P02;951875;410615;15714
2024;P02;951889;2032188;12117
2024;P03;951864;2718027;69072
2024;P03;952391;5252073;39862
2024;P03;951803;2537545;30116
2024;P03;752808;311260;17783
2024;P03;951875;418311;16405
2024;P03;951889;2178480;12826
