C601,C602,R025-0101,R025-0102,R025-0103,R025-0104,R025-0105,R025-0106,R025-0107,R025-0108,R025-0109,R025-0110,R025-0111,R025-0112,R025-0113,R025-0114,R025-0115
2024,1,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"2,691,497.00",No aplica,"2,691,497.00",No aplica,No aplica
2024,2,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"2,541,838.00",No aplica,"2,541,838.00",No aplica,No aplica
2024,3,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"3,075,422.00",No aplica,"3,075,422.00",No aplica,No aplica
2024,4,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"2,525,258.00",No aplica,"2,525,258.00",No aplica,No aplica
2024,5,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"2,439,131.00",No aplica,"2,439,131.00",No aplica,No aplica
2024,6,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"4,451,080.00",No aplica,"4,451,080.00",No aplica,No aplica
2024,7,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"4,522,181.00",No aplica,"4,522,181.00",No aplica,No aplica
2024,8,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"3,099,129.00",No aplica,"3,099,129.00",No aplica,No aplica
2024,9,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"1,470,645.00",No aplica,"1,470,645.00",No aplica,No aplica
2024,10,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"8,096,417.00",No aplica,"8,096,417.00",No aplica,No aplica
2024,11,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"5,993,290.00",No aplica,"5,993,290.00",No aplica,No aplica
2024,12,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,"5,682,826.00",No aplica,"5,682,826.00",No aplica,No aplica
