C601,C602,R025-0401,R025-0402,R025-0403,R025-0404,R025-0405,R025-0406,R025-0407,R025-0408,R025-0409,R025-0410,R025-0411,R025-0412,R025-0413,R025-0414,R025-0415,R025-0416,R025-0417
2024,ENERO,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,9.00
2024,FEBRERO,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,9.00
2024,MARZO,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,9.00
2024,ABRIL,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,9.00
2024,MAYO,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,9.00
2024,JUNIO,4,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,13.00
2024,JULIO,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,13.00
2024,AGOSTO,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,13.00
2024,SEPTIEMBRE,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,13.00
2024,OCTUBRE,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,13.00
2024,NOVIEMBRE,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,13.00
2024,DICIEMBRE,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,13.00
