C601,C602,C101,R002-0501
2024,1,TP 1440 15,0
2024,2,TP 1440 15,0
2024,3,TP 1440 15,935
2024,4,TP 1440 15,1925
2024,5,TP 1440 15,1992
2024,6,TP 1440 15,1822
2024,7,TP 1440 15,1925
2024,8,TP 1440 15,1977
2024,9,TP 1440 15,815
2024,10,TP 1440 15,641
2024,11,TP 1440 15,6
2024,12,TP 1440 15,2
2024,1,TP 1440 30,0
2024,2,TP 1440 30,0
2024,3,TP 1440 30,1792
2024,4,TP 1440 30,4417
2024,5,TP 1440 30,5409
2024,6,TP 1440 30,4646
2024,7,TP 1440 30,5261
2024,8,TP 1440 30,5781
2024,9,TP 1440 30,948
2024,10,TP 1440 30,693
2024,11,TP 1440 30,4
2024,12,TP 1440 30,2
2024,1,YO 5 GB,0
2024,2,YO 5 GB,0
2024,3,YO 5 GB,0
2024,4,YO 5 GB,0
2024,5,YO 5 GB,0
2024,6,YO 5 GB,0
2024,7,YO 5 GB,0
2024,8,YO 5 GB,0
2024,9,YO 5 GB,0
2024,10,YO 5 GB,58
2024,11,YO 5 GB,673
2024,12,YO 5 GB,529
2024,1,YO 10 GB,0
2024,2,YO 10 GB,0
2024,3,YO 10 GB,0
2024,4,YO 10 GB,0
2024,5,YO 10 GB,0
2024,6,YO 10 GB,0
2024,7,YO 10 GB,0
2024,8,YO 10 GB,0
2024,9,YO 10 GB,0
2024,10,YO 10 GB,45
2024,11,YO 10 GB,435
2024,12,YO 10 GB,202
2024,1,YO 20 GB,0
2024,2,YO 20 GB,0
2024,3,YO 20 GB,0
2024,4,YO 20 GB,0
2024,5,YO 20 GB,0
2024,6,YO 20 GB,0
2024,7,YO 20 GB,0
2024,8,YO 20 GB,0
2024,9,YO 20 GB,0
2024,10,YO 20 GB,5
2024,11,YO 20 GB,104
2024,12,YO 20 GB,12
2024,1,YO 40 GB,0
2024,2,YO 40 GB,0
2024,3,YO 40 GB,0
2024,4,YO 40 GB,0
2024,5,YO 40 GB,0
2024,6,YO 40 GB,0
2024,7,YO 40 GB,0
2024,8,YO 40 GB,0
2024,9,YO 40 GB,0
2024,10,YO 40 GB,3
2024,11,YO 40 GB,12
2024,12,YO 40 GB,0
2024,1,YO 50 GB,0
2024,2,YO 50 GB,0
2024,3,YO 50 GB,0
2024,4,YO 50 GB,0
2024,5,YO 50 GB,0
2024,6,YO 50 GB,0
2024,7,YO 50 GB,0
2024,8,YO 50 GB,0
2024,9,YO 50 GB,0
2024,10,YO 50 GB,1
2024,11,YO 50 GB,12
2024,12,YO 50 GB,0
2024,1,YO L,0
2024,2,YO L,675
2024,3,YO L,19
2024,4,YO L,9
2024,5,YO L,4
2024,6,YO L,1
2024,7,YO L,1
2024,8,YO L,0
2024,9,YO L,0
2024,10,YO L,0
2024,11,YO L,0
2024,12,YO L,0
2024,1,YO L NEW,0
2024,2,YO L NEW,91
2024,3,YO L NEW,159
2024,4,YO L NEW,0
2024,5,YO L NEW,0
2024,6,YO L NEW,0
2024,7,YO L NEW,0
2024,8,YO L NEW,0
2024,9,YO L NEW,0
2024,10,YO L NEW,0
2024,11,YO L NEW,0
2024,12,YO L NEW,0
2024,1,YO LL NEW,0
2024,2,YO LL NEW,56
2024,3,YO LL NEW,116
2024,4,YO LL NEW,0
2024,5,YO LL NEW,0
2024,6,YO LL NEW,0
2024,7,YO LL NEW,0
2024,8,YO LL NEW,0
2024,9,YO LL NEW,0
2024,10,YO LL NEW,0
2024,11,YO LL NEW,0
2024,12,YO LL NEW,0
2024,1,YO M,0
2024,2,YO M,2587
2024,3,YO M,141
2024,4,YO M,38
2024,5,YO M,32
2024,6,YO M,4
2024,7,YO M,6
2024,8,YO M,7
2024,9,YO M,1
2024,10,YO M,1
2024,11,YO M,0
2024,12,YO M,0
2024,1,YO M NEW,0
2024,2,YO M NEW,1264
2024,3,YO M NEW,1908
2024,4,YO M NEW,0
