Distintivo,CanalProgramacion,CanalVirtual/Frecuencia,TipoEstacion,Fecha,HoraInicio,HoraFin,NombrePrograma,Descripcion,PublicoObjetivo,Genero,TipoProduccion,NacionProduccion,TipoTransmision
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,00:00,00:03,Himno Nacional,Himno Nacional,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,00:03,08:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,08:00,09:00,Espacio informativo,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,09:00,11:00,Isaac y la bandanduka,Morning show ,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,11:00,12:00,Las clasiconas de la Kañona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,12:00,13:00,El Show de la buenona,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,13:00,14:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,14:00,15:00,Noticias Digitales Sinaloa,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,15:00,16:00,Cristian Barron EL LOBO,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,16:00,18:00,Lalo te las toca,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,18:00,19:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,19:00,20:00,Sobre la mesa,Mesa de Analisis,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,20:00,22:00,Noches Retro,Programa Musical,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,04/03/2024,22:00,00:00,El Show de la Potranka,Night Show,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,00:00,00:03,Himno Nacional,Himno Nacional,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,00:03,08:00,Programacion Musical,Música,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,08:00,09:00,Espacio informativo,Noticiero,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,09:00,11:00,Isaac y la bandanduka,Morning show ,,,,,
XHQE-FM,LA KAÑONA FM,94.3,Equipo Principal,05/03/2024,11:00,12:00,Las clasiconas de la Kañona,Programa Musical,,,,,
