C501,C502,C001,C101,C102,R001-0301
2025,P02,P01001,P119,P01,986
2025,P02,P01001,P119,P02,0
2025,P02,P01001,P124,P01,2
2025,P02,P01001,P124,P02,0
2025,P02,P01001,P126,P01,9
2025,P02,P01001,P126,P02,0
2025,P02,P01002,P119,P01,0
2025,P02,P01002,P119,P02,0
2025,P02,P01002,P124,P01,0
2025,P02,P01002,P124,P02,0
2025,P02,P01002,P126,P01,0
2025,P02,P01002,P126,P02,0
2025,P02,P01003,P119,P01,0
2025,P02,P01003,P119,P02,0
2025,P02,P01003,P124,P01,0
2025,P02,P01003,P124,P02,0
2025,P02,P01003,P126,P01,0
2025,P02,P01003,P126,P02,0
2025,P02,P01004,P119,P01,0
2025,P02,P01004,P119,P02,0
2025,P02,P01004,P124,P01,0
2025,P02,P01004,P124,P02,0
2025,P02,P01004,P126,P01,0
2025,P02,P01004,P126,P02,0
2025,P02,P01005,P119,P01,0
2025,P02,P01005,P119,P02,0
2025,P02,P01005,P124,P01,0
2025,P02,P01005,P124,P02,0
2025,P02,P01005,P126,P01,0
2025,P02,P01005,P126,P02,0
2025,P02,P01006,P119,P01,0
2025,P02,P01006,P119,P02,0
2025,P02,P01006,P124,P01,0
2025,P02,P01006,P124,P02,0
2025,P02,P01006,P126,P01,0
2025,P02,P01006,P126,P02,0
2025,P02,P01007,P119,P01,0
2025,P02,P01007,P119,P02,0
2025,P02,P01007,P124,P01,0
2025,P02,P01007,P124,P02,0
2025,P02,P01007,P126,P01,0
2025,P02,P01007,P126,P02,0
2025,P02,P01008,P119,P01,0
2025,P02,P01008,P119,P02,0
2025,P02,P01008,P124,P01,0
2025,P02,P01008,P124,P02,0
2025,P02,P01008,P126,P01,0
2025,P02,P01008,P126,P02,0
2025,P02,P01009,P119,P01,0
2025,P02,P01009,P119,P02,0
2025,P02,P01009,P124,P01,0
2025,P02,P01009,P124,P02,0
2025,P02,P01009,P126,P01,0
2025,P02,P01009,P126,P02,0
2025,P02,P01010,P119,P01,0
2025,P02,P01010,P119,P02,0
2025,P02,P01010,P124,P01,0
2025,P02,P01010,P124,P02,0
2025,P02,P01010,P126,P01,0
2025,P02,P01010,P126,P02,0
2025,P02,P01011,P119,P01,0
2025,P02,P01011,P119,P02,0
2025,P02,P01011,P124,P01,0
2025,P02,P01011,P124,P02,0
2025,P02,P01011,P126,P01,0
2025,P02,P01011,P126,P02,0
2025,P02,P02001,P119,P01,0
2025,P02,P02001,P119,P02,0
2025,P02,P02001,P124,P01,0
2025,P02,P02001,P124,P02,0
2025,P02,P02001,P126,P01,0
2025,P02,P02001,P126,P02,0
2025,P02,P02002,P119,P01,785
2025,P02,P02002,P119,P02,0
2025,P02,P02002,P124,P01,1
2025,P02,P02002,P124,P02,0
2025,P02,P02002,P126,P01,7
2025,P02,P02002,P126,P02,0
2025,P02,P02003,P119,P01,0
