C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,,,,,,,
2024,P01,228,0,24085,0,176336,52000,0,0,,,,,,,
2024,P02,7985,0,24085,0,159265,52000,0,0,,,,,,,
2024,P03,6274,0,24085,0,166218,52000,0,0,,,,,,,
2024,P04,0,0,24085,0,81375,52000,0,8300,,,,,,,
2024,P05,24,0,24085,0,174095,52000,0,0,,,,,,,
2024,P06,2435,0,24085,0,136260,65000,0,0,,,,,,,
2024,P07,5224,0,24085,0,148091,52000,0,0,,,,,,,
2024,P08,5872,0,24085,0,225513,52000,0,0,,,,,,,
2024,P09,3507,0,24085,0,247449,52000,0,0,,,,,,,
2024,P10,2415,0,24085,0,257734,52000,0,7000,,,,,,,
2024,P11,3662,0,24085,0,148036,52000,0,0,,,,,,,
2024,P12,1337,0,24085,0,615306,52000,0,0,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
