C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613,
2024,P01,N/A,N/A,23936,N/A,N/A,N/A,N/A,23936,N/A,N/A,N/A,N/A,N/A,
2024,P02,N/A,N/A,27996,N/A,N/A,N/A,N/A,27996,N/A,N/A,N/A,N/A,N/A,
2024,P03,N/A,N/A,31576,N/A,N/A,N/A,N/A,31576,N/A,N/A,N/A,N/A,N/A,
2024,P04,N/A,N/A,37151,N/A,N/A,N/A,N/A,37151,N/A,N/A,N/A,N/A,N/A,
2024,P05,N/A,N/A,36534,N/A,N/A,N/A,N/A,36534,N/A,N/A,N/A,N/A,N/A,
2024,P06,N/A,N/A,36473,N/A,N/A,N/A,N/A,36473,N/A,N/A,N/A,N/A,N/A,
2024,P07,N/A,N/A,35748,N/A,N/A,N/A,N/A,35748,N/A,N/A,N/A,N/A,N/A,
2024,P08,N/A,N/A,39014,N/A,N/A,N/A,N/A,39014,N/A,N/A,N/A,N/A,N/A,
2024,P09,N/A,N/A,41675,N/A,N/A,N/A,N/A,41675,N/A,N/A,N/A,N/A,N/A,
2024,P10,N/A,N/A,51030,N/A,N/A,N/A,N/A,51030,N/A,N/A,N/A,N/A,N/A,
2024,P11,N/A,N/A,59726,N/A,N/A,N/A,N/A,59726,N/A,N/A,N/A,N/A,N/A,
2024,P12,N/A,N/A,71753,N/A,N/A,N/A,N/A,71753,N/A,N/A,N/A,N/A,N/A,
