C601;C602;C105;R004-0401;R004-0402;R004-0403
2025;P04;P01;1434;14335;1179
2025;P04;P02;70849;3114625;44717
2025;P04;P03;33398;3284661;25566
2025;P04;P04;39468;5908300;36359
2025;P04;P05;16648;3322226;16022
2025;P04;P06;8997;2528879;8800
2025;P04;P07;482;462557;477
2025;P04;P08;6;11988;6
2025;P05;P01;1749;17490;1346
2025;P05;P02;70477;3131703;41166
2025;P05;P03;31746;3122993;23306
2025;P05;P04;41344;6188918;37760
2025;P05;P05;17759;3542799;17311
2025;P05;P06;9644;2706485;9477
2025;P05;P07;528;505830;523
2025;P05;P08;7;13990;7
2025;P06;P01;1608;16080;1322
2025;P06;P02;68827;3061366;39766
2025;P06;P03;29456;2893392;21768
2025;P06;P04;39497;5911421;36302
2025;P06;P05;17398;3469705;16983
2025;P06;P06;9604;2687099;9347
2025;P06;P07;425;407114;424
2025;P06;P08;2;3996;2
