C601,C602,R019-0101,R019-0102,R019-0103,R019-0104,R019-0105,R019-0106
2024,P04,PEGASO PCS,NA,NA,NA,NA,2854230.81
2024,P05,PEGASO PCS,NA,NA,NA,NA,2071230.8
2024,P06,PEGASO PCS,NA,NA,NA,NA,3255740.99
2024,P04,LEVEL SMS S.A DE C.V,NA,NA,NA,NA,1161553.73
2024,P05,LEVEL SMS S.A DE C.V,NA,NA,NA,NA,1484963.5
2024,P06,LEVEL SMS S.A DE C.V,NA,NA,NA,NA,1055588.57
2024,P04,MOBILE SERVICES CLOUD,NA,NA,NA,NA,524.38
2024,P05,MOBILE SERVICES CLOUD,NA,NA,NA,NA,1741.31
2024,P06,MOBILE SERVICES CLOUD,NA,NA,NA,NA,106003.16
2024,P04,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,-146901.77
2024,P05,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,62783.16
2024,P06,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,49026.9
