C601,C602,R019-0201,R019-0202,R019-0203,R019-0204,R019-0205,R019-0206
2024,P07,PEGASO PCS SA de CV,NA,NA,NA,NA,11342669
2024,P08,PEGASO PCS SA de CV,NA,NA,NA,NA,11360321
2024,P09,PEGASO PCS SA de CV,NA,NA,NA,NA,5708219
2024,P07,LEVEL SMS S.A. de C.V.,NA,NA,NA,NA,6528983
2024,P08,LEVEL SMS S.A. de C.V.,NA,NA,NA,NA,7293896
2024,P09,LEVEL SMS S.A. de C.V.,NA,NA,NA,NA,6365066
2024,P07,MOBILE SERVICES CLOUD,NA,NA,NA,NA,600717
2024,P08,MOBILE SERVICES CLOUD,NA,NA,NA,NA,592662
2024,P09,MOBILE SERVICES CLOUD,NA,NA,NA,NA,318400
2024,P07,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,2148996
2024,P08,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,2166893
2024,P09,Tecnologías Romber S.A. de C.V.,NA,NA,NA,NA,2119127
