C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,
2023,P01, NA , NA ,34463.79, NA ,5246.26,9501.48, NA ,7856.23,
2023,P02, NA , NA ,37222.41, NA ,32145.28,9585.68, NA ,4628.76,
2023,P03, NA , NA ,35886.21, NA ,6321.24,4792.84, NA ,5417.26,
2023,P04, NA , NA ,37006.90, NA ,1256.23,9585.68, NA ,4325.18,
2023,P05, NA , NA ,34787.60, NA ,2347.16,11982.10, NA ,3657.82,
2023,P06, NA , NA ,26724.14, NA ,2589.63,9585.68, NA ,4265.23,
2023,P07, NA , NA ,24418.10, NA ,3412.27,11982.10, NA ,3859.64,
2023,P08, NA , NA ,23491.38, NA ,1523.89,9585.68, NA ,2748.96,
2023,P09, NA , NA ,27693.96, NA ,3425.87,11982.10, NA ,4789.65,
2023,P10, NA , NA ,26185.34, NA ,2145.20,9585.68, NA ,5215.62,
2023,P11, NA , NA ,29310.34, NA ,3658.74,9585.68, NA ,3856.24,
2023,P12, NA , NA ,29827.59, NA ,1458.92,19868.74, NA ,4756.20,
,,,,,,,,,,
