C601,C602,C101,R002-0501,
2021,P01,P108,20940,
2021,P01,P111,0,
2021,P01,P114,0,
2021,P01,P115,6,
2021,P02,P108,22092,
2021,P02,P111,0,
2021,P02,P114,0,
2021,P02,P115,6,
2021,P03,P108,23087,
2021,P03,P111,0,
2021,P03,P114,0,
2021,P03,P115,7,
2021,P04,P108,23625,
2021,P04,P111,0,
2021,P04,P114,0,
2021,P04,P115,8,
2021,P05,P108,24344,
2021,P05,P111,0,
2021,P05,P114,0,
2021,P05,P115,8,
2021,P06,P108,25077,
2021,P06,P111,0,
2021,P06,P114,0,
2021,P06,P115,8,
2021,P07,P108,25781,
2021,P07,P111,0,
2021,P07,P114,0,
2021,P07,P115,8,
2021,P08,P108,26257,
2021,P08,P111,0,
2021,P08,P114,0,
2021,P08,P115,8,
2021,P09,P108,26779,
2021,P09,P111,0,
2021,P09,P114,0,
2021,P09,P115,8,
2021,P10,P108,27652,
2021,P10,P111,0,
2021,P10,P114,0,
2021,P10,P115,8,
2021,P11,P108,27075,
2021,P11,P111,0,
2021,P11,P114,0,
2021,P11,P115,8,
2021,P12,P108,27183,
2021,P12,P111,0,
2021,P12,P114,0,
2021,P12,P115,8,
