C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2023,P01,657072.89,526340.15,1537273.45,144490.89,5213872.921,6533254.06,448736.08,859604.50
2023,P02,604487.23,596830.01,1595907.51,142700.07,5552245.623,6597622.97,288064.65,784548.30
2023,P03,662072.93,601492.30,1538769.75,177133.29,5903566.292,6800033.46,447876.44,1022078.81
2023,P04,605066.70,598552.29,1537211.10,163761.67,5419214.02,6865280.21,394324.06,981022.5767
2023,P05,679872.74,606109.11,1528400.22,179015.13,5714790.828,7065386.89,409467.74,895311.93
2023,P06,676079.90,670716.30,1577558.18,224485.78,5738001.851,7042615.72,405810.70,908137.60
2023,P07,654346.96,609768.81,1575222.95,206346.45,5668932.376,6876297.72,494768.49,867699.87
2023,P08,647660.37,603264.70,1520987.25,205001.93,6808885.137,6859350.09,351611,823590.09
2023,P09,656326.44,607934.39,1482529.28,215729.92,5810096.428,6874205.43,395200.45,1114486.47
2023,P10,677097.37,609600.61,1537405.37,215329.45,7444474.809,6914137.958,392038.14,967755.12
2023,P11,664401.43,633480.48,1426298.48,228349.38,6492769.856,6735609.08,418999.91,904744.44
2023,P12,645762.86,647131.79,1527036.89,255193.57,5932174.46,8116786.72,396457.86,878580.2467
