C501,C502,C402,R011-0401,R011-0402
2025,P03,P01,8,14
2025,P03,P02,79,376
2025,P03,P03,23,0
2025,P03,P04,15,1
2025,P03,P05,2,0
2025,P03,P05,3,0
2025,P03,P05,17,0
2025,P03,P06,1,0
2025,P03,P06,30,753
2025,P03,P06,2,1
2025,P03,P06,3,0
2025,P03,P07,2,0
2025,P03,P09,2,0
2025,P03,P09,180,144
2025,P03,P09,114,0
2025,P03,P10,1,0
2025,P03,P14,43,0
2025,P03,P14,23,0
2025,P03,P14,10,0
2025,P03,P14,2,0
2025,P03,P15,9,0
2025,P03,P15,3,0
2025,P03,P15,4,0
2025,P03,P16,19,0
2025,P03,P16,1,0
2025,P03,P18,3,0
2025,P03,P18,10,0
2025,P03,P21,0,4
2025,P03,P23,355,27
2025,P03,P24,1325,34
