C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109,,
2024,P01,NA,6724.14,7709.52,NA,NA,NA,NA,NA,NA,,
2024,P02,NA,9310.34,10674.711,NA,NA,NA,NA,NA,NA,,
2024,P03,NA,12931.03,12781.04,NA,NA,NA,NA,NA,NA,,
2024,P04,NA,7241.37,8286.97,NA,NA,NA,NA,NA,NA,,
2024,P05,NA,8275.86,9488.64,NA,NA,NA,NA,NA,NA,,
2024,P06,NA,8448.27,9686.32,NA,NA,NA,NA,NA,NA,,
2024,P07,NA,4131.93,4737.43,NA,NA,NA,NA,NA,NA,,
2024,P08,NA,8448.27,9686.32,NA,NA,NA,NA,NA,NA,,
2024,P09,NA,8448.27,9686.32,NA,NA,NA,NA,NA,NA,,
2024,P10,NA,7413.79,8500.24,NA,NA,NA,NA,NA,NA,,
2024,P11,NA,16034.48,18384.24,NA,NA,NA,NA,NA,NA,,
2024,P12,NA,9655.17,11070.08,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,,,,
