C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,812,NA,43727.2,NA,0,8712.55,NA,NA
2024,P02,1740,NA,42798.3,NA,0,13940.08,NA,NA
2024,P03,0,NA,24525,NA,0,10455.06,NA,NA
2024,P04,2499.8,NA,46297.16,NA,0,12703.86,NA,NA
2024,P05,2499.8,NA,33077,NA,0,17139.32,NA,NA
2024,P06,0,NA,25171,NA,5983.7,19167.61,NA,NA
2024,P07,0,NA,33077,NA,2494.54,15682.59,NA,NA
2024,P08,1325.1,NA,54083.7,NA,0,26884.44,NA,NA
2024,P09,1148.4,NA,104099.06,NA,0,24146.21,NA,NA
2024,P10,2030,NA,46980,NA,0,34352.34,NA,NA
2024,P11,2268.96,NA,70089.9,NA,0,43562.75,NA,NA
2024,P12,1276,NA,77869,NA,0,45296.23,NA,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
