C601,C003,R027-0401,R027-0402,R027-0403,R027-0404,,,
2024,P170040012,NO ,SI,NO ,NO ,,,
2024,P170040171,NO,SI,NO,NO,,,
2024,P170040011,NO,SI,NO,NO,,,
2024,P170040010,NO,SI,NO,NO,,,
2024,P170040027,NO,SI,NO,NO,,,
2024,P170040196,NO,SI,NO,NO,,,
2024,P170040184,NO,SI,NO,NO,,,
2024,P170040070,NO,SI,NO,NO,,,
2024,P170040031,NO,SI,NO,NO,,,
2024,P170300040,NO,SI,NO,NO,,,
2024,P170060030,NO,SI,NO,NO,,,
2024,P170290012,NO,SI,NO,NO,,,
2024,P170290001,NO,SI,NO,NO,,,
2024,P170290138,NO,SI,NO,NO,,,
2024,P170300099,NO,SI,NO,NO,,,
2024,P170300079,NO,SI,NO,NO,,,
2024,P170300001,NO,SI,NO,NO,,,
