C601,C003,R027-0501,R027-0502,R027-0503,R027-0504,R027-0505,R027-0506,,
2024,P170040012,NO,NO,NO,NO,NO,NO,,
2024,P170040171,NO,NO,NO,NO,NO,NO,,
2024,P170040011,NO,NO,NO,NO,NO,NO,,
2024,P170040010,NO,NO,NO,NO,NO,NO,,
2024,P170040027,NO,NO,NO,NO,NO,NO,,
2024,P170040196,NO,NO,NO,NO,NO,NO,,
2024,P170040184,NO,NO,NO,NO,NO,NO,,
2024,P170040070,NO,NO,NO,NO,NO,NO,,
2024,P170040031,NO,NO,NO,NO,NO,NO,,
2024,P170300040,NO,NO,NO,NO,NO,NO,,
2024,P170060030,NO,NO,NO,NO,NO,NO,,
2024,P170290012,NO,NO,NO,NO,NO,NO,,
2024,P170290001,NO,NO,NO,NO,NO,NO,,
2024,P170290138,NO,NO,NO,NO,NO,NO,,
2024,P170300099,NO,NO,NO,NO,NO,NO,,
2024,P170300079,NO,NO,NO,NO,NO,NO,,
2024,P170300001,NO,NO,NO,NO,NO,NO,,
