C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2023,P01,1000,1000,25520,0,NA,10125,NA,NA
2023,P02,1000,1000,25520,0,NA,7200,NA,NA
2023,P03,1000,2050,25520,0,NA,11100,NA,NA
2023,P04,1000,2700,25520,1000,NA,10280,NA,NA
2023,P05,1000,2700,25520,1000,NA,9650,NA,NA
2023,P06,1000,2700,25520,0,NA,10900,NA,NA
2023,P07,1000,3183,25520,0,NA,10700,NA,NA
2023,P08,1000,2900,25520,0,NA,13500,NA,NA
2023,P09,1000,2900,25520,0,NA,13300,NA,NA
2023,P10,1000,2900,25520,0,NA,8500,NA,NA
2023,P11,1000,2900,25520,0,NA,12550,NA,NA
2023,P12,1000,11216.17,25520,0,NA,18250,NA,NA
,,,,,,,,,
,,,,,,,,,
