C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2022,P01, NA , NA ,64665.91, NA , NA , NA , NA , NA , NA 
2022,P02, NA , NA ,58517.38, NA , NA , NA , NA , NA , NA 
2022,P03, NA , NA ,64128.45, NA , NA , NA , NA , NA , NA 
2022,P04, NA , NA ,68146.23, NA , NA , NA , NA , NA , NA 
2022,P05, NA , NA ,76258.92, NA , NA , NA , NA , NA , NA 
2022,P06, NA , NA ,83740.26, NA , NA , NA , NA , NA , NA 
2022,P07, NA , NA ,74861.60, NA , NA , NA , NA , NA , NA 
2022,P08, NA , NA ,91393.70, NA , NA , NA , NA , NA , NA 
2022,P09, NA , NA ,113511.11, NA , NA , NA , NA , NA , NA 
2022,P10, NA , NA ,104928.4397, NA , NA , NA , NA , NA , NA 
2022,P11, NA , NA ,119236.85, NA , NA , NA , NA , NA , NA 
2022,P12, NA , NA ,166615.28, NA , NA , NA , NA , NA , NA 
