C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,"56,688",NA,NA,NA,NA,NA,NA,NA,NA
2024,P02,"56,575",NA,NA,NA,NA,NA,NA,NA,NA
2024,P03,"56,661",NA,NA,NA,NA,NA,NA,NA,NA
2024,P04,"56,697",NA,NA,NA,NA,NA,NA,NA,NA
2024,P05,"56,770",NA,NA,NA,NA,NA,NA,NA,NA
2024,P06,"56,752",NA,NA,NA,NA,NA,NA,NA,NA
2024,P07,"56,815",NA,NA,NA,NA,NA,NA,NA,NA
2024,P08,"56,442",NA,NA,NA,NA,NA,NA,NA,NA
2024,P09,"56,706",NA,NA,NA,NA,NA,NA,NA,NA
2024,P10,"56,651",NA,NA,NA,NA,NA,NA,NA,NA
2024,P11,"56,721",NA,NA,NA,NA,NA,NA,NA,NA
2024,P12,"56,780",NA,NA,NA,NA,NA,NA,NA,NA
