C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,70389,3749346,NA,NA,NA,NA,195328,0
2024,P02,NA,60247,2434198,NA,NA,NA,NA,47525,9390
2024,P03,NA,73077,2415477,NA,NA,NA,NA,100521,0
2024,P04,NA,71091,2219953,NA,NA,NA,NA,292749,0
2024,P05,NA,79463,2402556,NA,NA,NA,NA,149460,0
2024,P06,NA,60872,2502212,NA,NA,NA,NA,98879,30000
2024,P07,NA,64305,2433680,NA,NA,NA,NA,409337,0
2024,P08,NA,60766,2090578,NA,NA,NA,NA,78605,6000
2024,P09,NA,60766,2110537,NA,NA,NA,NA,168318,6000
2024,P10,NA,75084,2276077,NA,NA,NA,NA,503922,6000
2024,P11,NA,74014,2329459,NA,NA,NA,NA,120025,6000
2024,P12,NA,80184,2403630,NA,NA,NA,NA,190760,6000
,,,,,,,,,,
