C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,,,
2024,P01,"318,991.60",N/A,"1,030,433.93",N/A,N/A,"435,911.97",N/A,"275,530.36",,,
2024,P02,"465,178.00",N/A,"1,402,353.57",N/A,N/A,"464,236.04",N/A,"472,939.53",,,
2024,P03,"422,617.94",N/A,"1,534,936.50",N/A,N/A,"501,994.46",N/A,"610,324.10",,,
2024,P04,"254,926.65",N/A,"1,406,171.08",N/A,N/A,"501,728.23",N/A,"649,516.20",,,
2024,P05,"542,313.68",N/A,"1,719,427.97",N/A,N/A,"603,157.27",N/A,"573,957.02",,,
2024,P06,"291,928.17",N/A,"1,309,639.57",N/A,N/A,"501,115.37",N/A,"516,596.03",,,
2024,P07,"302,370.05",N/A,"1,661,910.10",N/A,N/A,"633,849.66",N/A,"725,690.39",,,
2024,P08,"411,661.31",N/A,"1,982,083.39",N/A,N/A,"514,360.96",N/A,"1,056,061.12",,,
2024,P09,"296,610.46",N/A,"1,627,182.90",N/A,N/A,"665,365.50",N/A,"665,206.94",,,
2024,P10,"283,574.98",N/A,"1,910,018.55",N/A,N/A,"560,541.12",N/A,"1,065,902.45",,,
2024,P11,"293,790.40",N/A,"1,482,138.35",N/A,N/A,"581,807.86",N/A,"606,540.09",,,
2024,P12,"173,841.61",N/A,"1,769,559.19",N/A,N/A,"767,768.71",N/A,"827,948.87",,,
,,,,,,,,,,,,
