C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,NA,"10,200",NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,"10,540",NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,"7,621",NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,"9,027",NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,"8,529",NA,NA,NA,NA,NA,NA
