C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2022,P01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,P02,NA,0,4200,NA,NA,NA,NA,NA,NA
2022,P03,NA,0,6500,NA,NA,NA,NA,NA,NA
2022,P04,NA,0,10075,NA,NA,NA,NA,NA,NA
2022,P05,NA,0,9350,NA,NA,NA,NA,NA,NA
2022,P06,NA,0,22325,NA,NA,NA,NA,NA,NA
2022,P07,NA,0,24775,NA,NA,NA,NA,NA,NA
2022,P08,NA,0,29105,NA,NA,NA,NA,NA,NA
2022,P09,NA,5000,31575,NA,NA,NA,NA,NA,NA
2022,P10,NA,5000,33750,NA,NA,NA,NA,NA,NA
2022,P11,NA,4000,35300,NA,NA,NA,NA,NA,NA
2022,P12,NA,7500,41625,NA,NA,NA,NA,NA,NA
,,,,,,,,,,
,,,,,,,,,,
