C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2023,P01,NA,NA,138282,NA,NA,NA,NA,NA,NA
2023,P02,NA,NA,142189.5,NA,NA,NA,NA,NA,NA
2023,P03,NA,NA,130708.1,NA,NA,NA,NA,NA,NA
2023,P04,NA,NA,140251.5,NA,NA,NA,NA,NA,NA
2023,P05,NA,NA,139951,NA,NA,NA,NA,NA,NA
2023,P06,NA,NA,136197.93,NA,NA,NA,NA,NA,NA
2023,P07,NA,NA,152090.5,NA,NA,NA,NA,NA,NA
2023,P08,NA,NA,158318.4,NA,NA,NA,NA,NA,NA
2023,P09,NA,NA,167288,NA,NA,NA,NA,NA,NA
2023,P10,NA,NA,165332.75,NA,NA,NA,NA,NA,NA
2023,P11,NA,NA,169811.5,NA,NA,NA,NA,NA,NA
2023,P12,NA,NA,194708.25,NA,NA,NA,NA,NA,NA
,,,,,,,,,,
,,,,,,,,,,
